id,situacao,nome,geojson,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m
1,CONCLUIDO,JOAO PESSOA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2121326715977,-30.0466857150502],[-51.2118077731111,-30.0471090845852]]]}",0,0,0,1,2
2,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1326572387124,-30.1500155448541],[-51.1323783554948,-30.1496978508182]]]}",0,0,0,0,1
3,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1455431237269,-30.1580223122869],[-51.144741129624,-30.1572711090093]]]}",0,0,0,0,0
4,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1316173608758,-30.1483083177818],[-51.1313893238022,-30.1479262983344]]]}",0,0,0,1,1
5,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1328443191824,-30.1502036604912],[-51.1326572387124,-30.1500155448541]]]}",0,0,0,0,1
6,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.133504337561,-30.1508930654671],[-51.1331012364303,-30.1504661247576]]]}",0,0,0,0,0
7,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1335553344651,-30.1509471371067],[-51.133504337561,-30.1508930654671]]]}",0,0,0,0,0
8,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1311923211842,-30.1475882234857],[-51.1310032298669,-30.1472219505697]]]}",0,0,0,0,1
9,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1313893238022,-30.1479262983344],[-51.1311923211842,-30.1475882234857]]]}",0,0,0,0,1
10,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1331012364303,-30.1504661247576],[-51.1328443191824,-30.1502036604912]]]}",0,0,0,0,1
11,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1318052883316,-30.1486497835676],[-51.1316173608758,-30.1483083177818]]]}",0,0,1,1,1
12,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1320122797324,-30.1490566301772],[-51.1318052883316,-30.1486497835676]]]}",0,0,1,1,1
13,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1323783554948,-30.1496978508182],[-51.1322662384801,-30.1495367207478],[-51.1320122797324,-30.1490566301772]]]}",0,0,0,1,1
14,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1339382265638,-30.1511778996902],[-51.133745261873,-30.1510788700083],[-51.1335553344651,-30.1509471371067]]]}",0,0,0,0,0
15,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1349762705843,-30.1518443596538],[-51.1348682661632,-30.1517305855721],[-51.1345082280338,-30.151493037305],[-51.1339382265638,-30.1511778996902]]]}",0,0,0,0,0
16,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1368501692099,-30.1537716965861],[-51.1359231473442,-30.1533126101897]]]}",0,0,0,0,0
17,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1403781933351,-30.1550635510744],[-51.1392581890215,-30.1547524070195]]]}",0,0,0,0,0
18,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1353631467748,-30.1528497561062],[-51.1352381819419,-30.1525499506554],[-51.1351111953722,-30.1520753735391],[-51.1349762705843,-30.1518443596538]]]}",0,0,0,0,0
19,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1359231473442,-30.1533126101897],[-51.1356162239985,-30.1531404091043],[-51.1355072713105,-30.1530469327236],[-51.1353631467748,-30.1528497561062]]]}",0,0,0,0,0
20,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1378211828109,-30.1542532813614],[-51.1368501692099,-30.1537716965861]]]}",0,0,0,0,0
21,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1443050730086,-30.1568735563538],[-51.1441061186654,-30.156685470355]]]}",0,0,0,0,1
22,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1392581890215,-30.1547524070195],[-51.1389581100014,-30.1547267908357],[-51.1386881270794,-30.1546504011838],[-51.1384012289797,-30.1545390745678],[-51.1378211828109,-30.1542532813614]]]}",0,0,0,0,0
23,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1414921401812,-30.1553295897541],[-51.1403781933351,-30.1550635510744]]]}",0,0,0,0,1
24,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1431970124314,-30.1559839878979],[-51.1426190866611,-30.1557218929281],[-51.1422961515802,-30.1555936997819],[-51.1417121530628,-30.1553913689296],[-51.1414921401812,-30.1553295897541]]]}",0,0,0,1,1
25,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1432820605181,-30.1560267429642],[-51.1431970124314,-30.1559839878979]]]}",0,0,0,1,1
26,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1441061186654,-30.156685470355],[-51.1435900217627,-30.1562282415967],[-51.1432820605181,-30.1560267429642]]]}",0,0,0,1,1
27,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1474109743948,-30.1593744410199],[-51.1472310355678,-30.1592201657852],[-51.1468211011346,-30.1589511353636]]]}",0,0,1,1,1
28,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1475150755937,-30.1594656568816],[-51.1474109743948,-30.1593744410199]]]}",0,0,1,1,1
29,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.144741129624,-30.1572711090093],[-51.1443050730086,-30.1568735563538]]]}",0,0,0,0,1
30,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1468211011346,-30.1589511353636],[-51.1462390964453,-30.1585808141924],[-51.146009026924,-30.1584153175355],[-51.1455431237269,-30.1580223122869]]]}",0,0,0,1,1
