Endereco_detalhado,Lat,Lng
"Av. Antônio de Carvalho  1655 , Porto Alegre, RS, Brasil",-30.0549011,-51.1469862
"Av. Antônio de Carvalho 1800 , Porto Alegre, RS, Brasil",-30.0533157,-51.1471792
"Antônio de Carvalho  2320 , Porto Alegre, RS, Brasil",-30.0485598,-51.1442304
"Av. Antônio de Carvalho 2079 , Porto Alegre, RS, Brasil",-30.0509199,-51.1449103
"Mal. José Inácio da Silva 14 , Porto Alegre, RS, Brasil",-30.0090071,-51.1787372
"Mal. José Inácio da Silva 240 , Porto Alegre, RS, Brasil",-30.010913,-51.178661
"Estrada Costa Gama 3501 , Porto Alegre, RS, Brasil",-30.1380319,-51.1688008
"Estrada Costa Gama  3501 , Porto Alegre, RS, Brasil",-30.1380319,-51.1688008
"Rua Dr. Otávio Santos  330 , Porto Alegre, RS, Brasil",-30.039659,-51.145296
"Rua Dr. Otávio Santos  257 , Porto Alegre, RS, Brasil",-30.039215,-51.144986
"Av. Icaraí  1719 , Porto Alegre, RS, Brasil",-30.0943984,-51.2450005
"Av. Icaraí 1949 , Porto Alegre, RS, Brasil",-30.0959871,-51.2466768
"Rua Guadalajara  1035 , Porto Alegre, RS, Brasil",-30.0369321,-51.1441443
"Rua Guadalajara  , Porto Alegre, RS, Brasil",-30.0318846,-51.1436123
"Av. Padre Cacique  1178 , Porto Alegre, RS, Brasil",-30.0684655,-51.2367493
"Av. Padre Cacique  1178 , Porto Alegre, RS, Brasil",-30.0684655,-51.2367493
"Estrada Cristiano Kraemer  1771 , Porto Alegre, RS, Brasil",-30.1309287,-51.1990414
"Estrada Cristiano Kraemer 1621 , Porto Alegre, RS, Brasil",-30.1301,-51.200617
"Saturnino de Brito 1400 , Porto Alegre, RS, Brasil",-30.0297758,-51.1513727
"Saturnino de Brito  1400 , Porto Alegre, RS, Brasil",-30.0297758,-51.1513727
"Av. Oscar Pereira  4445 , Porto Alegre, RS, Brasil",-30.08505,-51.190975
"Av. Oscar Pereira  4464 , Porto Alegre, RS, Brasil",-30.085196,-51.190378
"Av. Baltazar de Oliveira Garcia  1981 , Porto Alegre, RS, Brasil",-30.0126494,-51.1249146
"Av. Baltazar de Oliveira Garcia  1956 , Porto Alegre, RS, Brasil",-30.012276,-51.1246162
"Rua Ten. Ary Tarrago  285 , Porto Alegre, RS, Brasil",-30.039858,-51.135426
"Rua Ten. Ary Tarragô 293 , Porto Alegre, RS, Brasil",-30.0397668,-51.1354998
"Av. Joao de Oliveira Remiao 6500 , Porto Alegre, RS, Brasil",-30.1246948,-51.1061603
"Av. Joao de Oliveira Remiao 6609 , Porto Alegre, RS, Brasil",-30.1249009,-51.105744
"Rua Paul Harris 467 , Porto Alegre, RS, Brasil",-30.0205115,-51.1428683
"Rua Paul Harris  415 , Porto Alegre, RS, Brasil",-30.0199946,-51.1429494
"Juca Batista  3156 , Porto Alegre, RS, Brasil",-30.1526623,-51.2008858
"Av. Juca Batista  3151 , Porto Alegre, RS, Brasil",-30.1523787,-51.2014282
"Voluntários da Pátria  1819 , Porto Alegre, RS, Brasil",-30.0183155,-51.213555
"Voluntários da Pátria 1981 , Porto Alegre, RS, Brasil",-30.017149,-51.213004
"Av. Padre Leopoldo Brentano  O/L 423 , Porto Alegre, RS, Brasil",-29.9761114,-51.1945934
"Padre Cacique  , Porto Alegre, RS, Brasil",-30.0705099,-51.2390975
"Av. Padre Cacique  , Porto Alegre, RS, Brasil",-30.0705099,-51.2390975
