Endereco,Lat,Lng
"12 DE OUTUBRO & PEDESTRE Nº 674 (PRÓX. MÁRIO DE ARTAGÃO), Porto Alegre, RS, Brasil","-30,0669677","-51,1925572"
"24 DE OUTUBRO & BORDINI, Porto Alegre, RS, Brasil","-30,0230972","-51,1968563"
"24 DE OUTUBRO & DR. TIMÓTEO, Porto Alegre, RS, Brasil","-30,0237559","-51,1997813"
"24 DE OUTUBRO & LUCAS DE OLIVEIRA, Porto Alegre, RS, Brasil","-30,0224453","-51,1953553"
"24 DE OUTUBRO & MARILAND, Porto Alegre, RS, Brasil","-30,0217583","-51,1939354"
"24 DE OUTUBRO & PEDESTRE Nº 1660 (PRÓX. CÂNDIDO SILVEIRA), Porto Alegre, RS, Brasil","-30,0205287","-51,1924192"
"24 DE OUTUBRO & QUINTINO BOCAIÚVA, Porto Alegre, RS, Brasil","-30,0236169","-51,1981537"
"24 DE OUTUBRO & SILVA JARDIM, Porto Alegre, RS, Brasil","-30,0220289","-51,1906609"
"7 DE SETEMBRO & PEDESTRE RUA BORGES DE MEDEIROS, Porto Alegre, RS, Brasil","-30,0430337","-51,2288751"
"A. J. RENNER & AMYNTHAS JACQUES DE MORAES, Porto Alegre, RS, Brasil","-29,9873808","-51,1942455"
"A. J. RENNER & DONA TEODORA, Porto Alegre, RS, Brasil","-29,9922096","-51,1958389"
"A. J. RENNER & LAURO MULLER, Porto Alegre, RS, Brasil","-29,9971238","-51,1973948"
"A. J. RENNER & PEDESTRE Nº 1708, Porto Alegre, RS, Brasil","-29,9873808","-51,1942455"
"A. J. RENNER & PEDESTRE Nº 695, Porto Alegre, RS, Brasil","-29,9873808","-51,1942455"
"ADELINO FERREIRA JARDIM & WOLFRAM METZLER, Porto Alegre, RS, Brasil","-30,0211198","-51,1065097"
"AFFONSO CELSO PUPE DA SILVEIRA & PEDESTRE Nº 25 (COL.DOLORES ALCARAZ CALDAS), Porto Alegre, RS, Brasil","-30,0188628","-51,1610837"
"ALBERTO BINS & ALÇA SAÍDA BC TÚNEL DA CONCEIÇÃO, Porto Alegre, RS, Brasil","-30,0292954","-51,2194286"
